driver id,car id,drive name,city,vechicle type,vechicle age,battery capacity(kw),total km driven,current charge percentage,estimated rangekm,batery health,vechicle-status,average energy per km kwh,charging cost,total maintanace cost,max speed,gross revenue,driver earnings
1,100001,Driver_1,Chennai,Sedan,6.1,40,59686.6,76.3,175.4,96.8,Active,0.174,3157.22,6227.34,120,429016.47,175021.9
2,100002,Driver_2,Bangalore,Mini EV,2.2,75,73156.7,88.2,365.5,74.8,Maintenance,0.181,2031.13,32756.08,140,126657.71,65099.3
3,100003,Driver_3,Hyderabad,Hatchback,5.0,30,183784.3,58.3,88.3,81.4,Inactive,0.198,1819.3,39736.81,140,483014.11,295301.09
4,100004,Driver_4,Chennai,SUV,6.3,30,214552.8,88.0,176.0,83.6,Maintenance,0.15,1231.94,28515.04,100,506848.25,228761.7
5,100005,Driver_5,Bangalore,SUV,4.0,50,247433.2,67.6,204.8,90.5,Active,0.165,1530.72,12442.59,140,99641.45,67152.44
6,100006,Driver_6,Delhi,Hatchback,2.1,60,101929.8,92.3,352.7,77.9,Active,0.157,3852.45,34156.96,160,723367.16,376020.83
7,100007,Driver_7,Bangalore,SUV,4.3,30,190166.6,87.5,198.9,74.8,Inactive,0.132,2399.72,14892.37,160,446835.76,308908.07
8,100008,Driver_8,Chennai,Sedan,5.6,75,188965.1,79.2,404.1,78.8,Active,0.147,2541.76,45646.38,140,778916.07,489617.81
9,100009,Driver_9,Delhi,Sedan,7.0,50,211209.0,55.7,204.8,81.2,Active,0.136,2927.21,32643.8,100,499208.44,272858.2
10,100010,Driver_10,Chennai,Hatchback,7.1,50,63665.8,31.7,96.1,72.4,Inactive,0.165,2686.96,25611.9,120,146293.6,79376.67
11,100011,Driver_11,Delhi,SUV,2.5,75,108668.8,29.1,133.9,91.9,Active,0.163,3708.27,29388.08,140,378575.06,210212.42
12,100012,Driver_12,Chennai,SUV,2.2,50,10153.4,59.9,179.3,70.2,Inactive,0.167,3339.96,32701.65,140,103143.01,48621.76
